dht11_temp_c,dht11_humidity_pct,moisture_raw,light_raw,label
25.30,28.00,2768,2153,Ideal
25.30,28.00,2768,2176,Ideal
25.30,28.00,2773,2175,Ideal
25.30,28.00,2765,2159,Ideal
25.30,28.00,2763,2147,Ideal
25.30,28.00,2765,2149,Ideal
25.30,28.00,2773,2157,Ideal
25.30,28.00,2768,2146,Ideal
25.30,28.00,2771,2151,Ideal
25.30,28.00,2770,2185,Ideal
25.30,28.00,2774,2289,Ideal
25.30,28.00,2777,2399,Ideal
25.30,28.00,2772,2411,Ideal
25.30,28.00,2778,2255,Ideal
25.30,28.00,2776,2198,Ideal
25.30,28.00,2770,2130,Ideal
25.30,28.00,2769,2174,Ideal
25.20,28.00,2773,2191,Ideal
25.20,28.00,2768,2234,Ideal
25.20,28.00,2771,2311,Ideal
25.20,28.00,2766,2385,Ideal
25.20,28.00,2769,2427,Ideal
25.20,28.00,2785,2420,Ideal
25.20,28.00,2761,2342,Ideal
25.20,28.00,2779,2193,Ideal
25.20,28.00,2774,2235,Ideal
25.20,28.00,2782,2401,Ideal
25.20,28.00,2782,2439,Ideal
25.20,28.00,2781,2385,Ideal
25.20,28.00,2772,2287,Ideal
25.20,28.00,2763,2190,Ideal
25.20,28.00,2770,2206,Ideal
25.20,28.00,2774,2327,Ideal
25.20,28.00,2775,2416,Ideal
25.20,28.00,2782,2437,Ideal
25.30,28.00,2773,2435,Ideal
25.20,28.00,2785,2403,Ideal
25.20,28.00,2774,2224,Ideal
25.20,28.00,2783,2162,Ideal
25.20,28.00,2768,2281,Ideal
25.20,28.00,2778,2367,Ideal
25.20,28.00,2774,2414,Ideal
25.20,28.00,2781,2418,Ideal
25.20,28.00,2786,2425,Ideal
25.20,28.00,2774,2370,Ideal
25.20,28.00,2774,2262,Ideal
25.20,28.00,2777,2187,Ideal
25.20,28.00,2779,2171,Ideal
25.20,28.00,2774,2213,Ideal
25.20,28.00,2774,2266,Ideal
25.20,28.00,2771,2271,Ideal
25.20,28.00,2774,2249,Ideal
25.20,28.00,2782,2222,Ideal
25.20,28.00,2775,2197,Ideal
25.20,28.00,2773,2180,Ideal
25.20,28.00,2770,2176,Ideal
