timestamp,ks_temp,dht_humedad,light,soil_humidity,estado
2026-05-19 19:24:30,18.66,36.00,2231,3425,Estable
2026-05-19 19:24:33,18.56,36.00,2246,3418,Estable
2026-05-19 19:24:36,18.33,36.00,2238,3434,Estable
2026-05-19 19:24:38,18.27,36.00,2240,3427,Estable
2026-05-19 19:24:41,18.30,36.00,2242,3434,Estable
2026-05-19 19:24:44,18.33,36.00,2241,3431,Estable
2026-05-19 19:24:46,18.40,36.00,2251,3439,Estable
2026-05-19 19:24:49,18.33,36.00,2238,3447,Estable
2026-05-19 19:24:52,18.40,36.00,2199,3445,Estable
2026-05-19 19:24:54,18.50,36.00,2115,3467,Estable
2026-05-19 19:24:57,18.43,36.00,2035,3453,Estable
2026-05-19 19:25:00,18.47,36.00,1999,3443,Estable
2026-05-19 19:25:02,18.47,36.00,2005,3447,Estable
2026-05-19 19:25:05,18.43,36.00,2054,3454,Estable
2026-05-19 19:25:08,18.40,36.00,2149,3461,Estable
2026-05-19 19:25:10,18.27,36.00,2241,3457,Estable
2026-05-19 19:25:13,18.33,36.00,2234,3447,Estable
2026-05-19 19:25:16,18.50,36.00,2168,3473,Estable
2026-05-19 19:25:18,18.53,36.00,2094,3462,Estable
2026-05-19 19:25:21,18.53,36.00,2032,3481,Estable
2026-05-19 19:25:24,18.56,36.00,2000,3471,Estable
2026-05-19 19:25:26,18.56,36.00,1983,3472,Estable
2026-05-19 19:25:29,18.50,36.00,2017,3478,Estable
2026-05-19 19:25:31,18.50,36.00,2128,3478,Estable
2026-05-19 19:25:34,18.56,36.00,2224,3474,Estable
2026-05-19 19:25:37,18.70,36.00,2201,3472,Estable
2026-05-19 19:25:40,18.56,36.00,2096,3450,Estable
2026-05-19 19:25:42,18.50,36.00,2000,3483,Estable
2026-05-19 19:25:45,18.60,36.00,1984,3481,Estable
2026-05-19 19:25:48,18.70,36.00,1998,3466,Estable
2026-05-19 19:25:50,18.76,36.00,1989,3499,Estable
2026-05-19 19:25:53,18.70,36.00,1983,3493,Estable
2026-05-19 19:25:56,18.80,36.00,1983,3499,Estable
2026-05-19 19:25:58,18.93,36.00,1978,3498,Estable
2026-05-19 19:26:01,18.86,36.00,1980,3493,Estable
2026-05-19 19:26:04,18.89,36.00,2000,3490,Estable
2026-05-19 19:26:06,18.86,36.00,2031,3499,Estable
2026-05-19 19:26:09,18.80,36.00,2085,3491,Estable
2026-05-19 19:26:11,18.80,36.00,2131,3501,Estable
2026-05-19 19:26:14,18.80,36.00,2187,3488,Estable
2026-05-19 19:26:17,18.70,36.00,2218,3515,Estable
2026-05-19 19:26:20,18.80,36.00,2225,3501,Estable
2026-05-19 19:26:22,18.86,36.00,2222,3505,Estable
2026-05-19 19:26:25,18.76,36.00,2214,3518,Estable
2026-05-19 19:26:28,18.86,36.00,2211,3504,Estable
2026-05-19 19:26:30,19.02,36.00,2238,3502,Estable
2026-05-19 19:26:33,19.02,36.00,2238,3504,Estable
2026-05-19 19:26:36,19.02,36.00,2224,3505,Estable
2026-05-19 19:26:38,18.89,36.00,2203,3506,Estable
2026-05-19 19:26:41,18.86,36.00,2222,3506,Estable
2026-05-19 19:26:44,18.73,36.00,2241,3510,Estable
2026-05-19 19:26:46,18.89,36.00,2179,3514,Estable
2026-05-19 19:26:49,18.76,36.00,2022,3504,Estable
2026-05-19 19:26:52,19.16,36.00,2000,3505,Estable
2026-05-19 19:26:54,19.09,36.00,2065,3506,Estable
2026-05-19 19:26:57,19.19,36.00,2117,3507,Estable
2026-05-19 19:27:00,19.09,36.00,2138,3514,Estable
2026-05-19 19:27:02,19.22,36.00,2151,3520,Estable
2026-05-19 19:27:05,19.19,36.00,2165,3517,Estable
2026-05-19 19:27:08,18.93,36.00,2203,3520,Estable
2026-05-19 19:27:10,18.80,36.00,2237,3518,Estable
2026-05-19 19:27:13,18.80,36.00,2206,3522,Estable
2026-05-19 19:27:16,18.76,36.00,2083,3525,Estable
2026-05-19 19:27:18,18.76,36.00,1985,3521,Estable
2026-05-19 19:27:21,18.76,36.00,2046,3526,Estable
2026-05-19 19:27:23,18.63,36.00,2128,3521,Estable
2026-05-19 19:27:26,18.76,36.00,2173,3522,Estable
2026-05-19 19:27:29,18.70,36.00,2179,3534,Estable
2026-05-19 19:27:32,18.66,36.00,2175,3523,Estable
2026-05-19 19:27:34,18.70,36.00,2159,3520,Estable
2026-05-19 19:27:37,18.63,36.00,2129,3524,Estable
2026-05-19 19:27:40,18.56,36.00,2099,3527,Estable
2026-05-19 19:27:42,18.66,36.00,2053,3510,Estable
2026-05-19 19:27:45,18.76,36.00,2004,3526,Estable
2026-05-19 19:27:48,18.56,36.00,1970,3504,Estable
2026-05-19 19:27:50,18.73,36.00,1977,3545,Estable
2026-05-19 19:27:53,18.60,36.00,1968,3536,Estable
2026-05-19 19:27:56,18.50,36.00,1981,3536,Estable
